m2_price,square,rooms,micro_district,district,floor,floors,Day,Month,Year,building_type,Construction_year,condition,price
1000,51,1,37,4,2,9,4,2,2023,3,1982,3,51000
1043,70,2,75,1,7,10,4,2,2023,1,2019,3,73000
1043,62,2,106,5,12,13,4,2,2023,2,2018,3,65000
1008,133,4,89,5,12,12,4,2,2023,1,2017,3,134000
1170,100,3,97,3,6,12,4,2,2023,1,2014,3,117000
1102,100,3,130,4,7,9,4,2,2023,2,2005,3,110000
1018,65,2,121,4,3,9,4,2,2023,1,2014,3,66500
1269,130,3,88,5,15,15,4,2,2023,2,2020,3,165000
1176,125,3,83,1,5,12,4,2,2023,1,2018,3,147000
1302,43,2,0,1,4,4,4,2,2023,1,1980,3,56000
1151,43,2,59,3,4,4,4,2,2023,1,1970,3,49500
942,57,2,106,5,2,14,4,2,2023,2,2020,3,54000
1161,56,2,75,1,1,9,4,2,2023,3,2019,3,65000
1062,47,2,110,4,2,4,4,2,2023,1,1980,3,49500
1328,29,1,100,3,1,3,4,2,2023,1,1960,3,38500
1200,50,2,104,3,4,5,4,2,2023,1,1983,3,60000
1147,68,2,4,1,10,10,4,2,2023,1,2020,3,78000
667,39,1,39,5,2,5,4,2,2023,1,2023,3,26000
667,48,1,117,4,7,10,4,2,2023,2,2023,3,32000
1426,168,4,90,3,5,9,4,2,2023,1,2014,3,240000
1379,58,2,67,3,2,12,4,2,2023,1,2018,3,80000
1372,164,6,17,5,3,3,4,2,2023,1,2020,3,225000
1202,84,2,34,5,2,9,4,2,2023,1,2020,3,101000
1274,53,2,91,5,2,9,4,2,2023,2,1980,3,67500
2000,125,4,17,5,2,13,4,2,2023,1,2021,3,250000
1052,58,3,87,5,5,5,4,2,2023,3,1980,3,61000
935,123,4,130,4,4,5,4,2,2023,2,2005,3,115000
992,64,3,113,1,6,9,4,2,2023,3,1980,3,63500
1200,40,1,52,5,8,12,4,2,2023,1,2021,3,48000
1350,60,3,43,4,1,9,4,2,2023,3,1989,3,81000
1291,77,3,12,1,6,11,4,2,2023,1,2015,3,99000
1417,48,2,29,1,5,5,4,2,2023,3,1990,3,68000
1657,102,3,44,3,3,3,4,2,2023,1,2016,3,169000
1154,73,2,71,4,11,12,4,2,2023,1,2022,3,84500
1059,103,3,14,1,1,10,4,2,2023,1,2020,3,109000
871,93,3,83,1,11,12,4,2,2023,2,2022,3,81000
1208,48,1,50,5,10,12,4,2,2023,2,2018,3,58000
1250,40,1,4,1,8,10,4,2,2023,2,2017,3,50000
1149,50,2,2,1,3,4,4,2,2023,3,1975,3,57000
1143,49,1,75,1,9,12,4,2,2023,1,2022,3,56000
1284,44,1,17,5,10,12,4,2,2023,2,2022,3,56500
1013,76,2,4,1,9,9,4,2,2023,3,2014,3,77000
1034,58,3,30,5,2,4,4,2,2023,3,2014,4,60000
1221,43,1,67,3,7,10,4,2,2023,1,2022,4,52500
627,56,2,63,4,9,9,4,2,2023,1,2021,4,35000
1366,71,3,46,3,4,4,4,2,2023,1,1971,4,97000
1295,112,4,45,5,3,12,4,2,2023,2,2020,4,145000
1133,60,3,52,5,2,9,4,2,2023,1,2012,4,68000
1384,56,2,105,1,1,5,4,2,2023,1,1999,4,77500
2232,112,3,83,1,5,8,4,2,2023,2,2020,3,250000
750,72,3,83,1,5,10,4,2,2023,2,2023,1,53760
1063,127,3,130,4,2,10,4,2,2023,3,2020,2,135000
1771,70,2,83,1,7,14,4,2,2023,2,2019,3,124000
